"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"１．産業_(3)製造業_⑧非鉄金属","5799.0","4097.0","1702.0","269.0","1433.0","148.0","1285.0","1239.0","46.0"
"１．産業_(3)製造業_⑨金属製品","95573.0","45371.0","50202.0","2247.0","47955.0","3061.0","44894.0","20219.0","24675.0"
"１．産業_(3)製造業_⑩一般機械","200516.0","102348.0","98168.0","4654.0","93514.0","6355.0","87159.0","38608.0","48551.0"
"１．産業_(3)製造業_⑪電気機械","61978.0","52326.0","9652.0","2477.0","7175.0","1292.0","5883.0","21600.0","-15717.0"
"１．産業_(3)製造業_⑫輸送機械","9002.0","4721.0","4281.0","175.0","4106.0","267.0","3839.0","2595.0","1244.0"
"１．産業_(3)製造業_⑬精密機械","55774.0","33534.0","22240.0","3859.0","18381.0","1645.0","16736.0","11003.0","5733.0"
"１．産業_(3)製造業_⑭その他の製造業","209909.0","133252.0","76657.0","7201.0","69456.0","5528.0","63928.0","53752.0","10176.0"
"","","","","","","","","",""
"１．産業_(4)建設業","467881.0","268985.0","198896.0","14749.0","184147.0","11386.0","172761.0","119959.0","52802.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","180958.0","84053.0","96905.0","28566.0","68339.0","7849.0","60490.0","36656.0","23834.0"
"１．産業_(6)卸売･小売業","566578.0","180467.0","386111.0","33550.0","352561.0","25706.0","326855.0","196287.0","130568.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","256210.0","81809.0","174401.0","15831.0","158570.0","-3822.0","162392.0","54005.0","108387.0"
"１．産業_(8)不動産業","437412.0","74199.0","363213.0","137635.0","225578.0","32798.0","192780.0","13224.0","179556.0"
"１．産業_(9)運輸業","190064.0","81396.0","108668.0","57588.0","51080.0","8091.0","42989.0","78987.0","-35998.0"
"１．産業_(10)情報通信業","163091.0","69700.0","93391.0","21324.0","72067.0","4363.0","67704.0","20805.0","46899.0"
"１．産業_(11)サ－ビス業","1060177.0","450265.0","609912.0","108656.0","501256.0","30673.0","470583.0","367726.0","102857.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","539555.0","102497.0","437058.0","116812.0","320246.0","406.0","319840.0","319840.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","32651.0","13666.0","18985.0","13275.0","5710.0","0.0","5710.0","5710.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","145682.0","19296.0","126386.0","2793.0","123593.0","30.0","123563.0","123563.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","361222.0","69535.0","291687.0","100744.0","190943.0","376.0","190567.0","190567.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","88335.0","26938.0","61397.0","6113.0","55284.0","1139.0","54145.0","54145.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","88335.0","26938.0","61397.0","6113.0","55284.0","1139.0","54145.0","54145.0","0.0"
"","","","","","","","","",""
"小計","6368723.0","2751158.0","3617565.0","682805.0","2934760.0","382591.0","2552169.0","1598533.0","953636.0"
"","","","","","","","","",""
"輸入品に課される税・関税","28895.0","0.0","28895.0","0.0","28895.0","28895.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","14414.0","0.0","14414.0","0.0","14414.0","14414.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","6383204.0","2751158.0","3632046.0","682805.0","2949241.0","397072.0","2552169.0","1598533.0","953636.0"
