"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","5740833.0","2621723.0","3119110.0","559880.0","2559230.0","381046.0","2178184.0","1224548.0","953636.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","150689.0","60351.0","90338.0","34015.0","56323.0","633.0","55690.0","32427.0","23263.0"
"１．産業_(1)農林水産業_①農業","107796.0","39346.0","68450.0","28332.0","40118.0","73.0","40045.0","23132.0","16913.0"
"１．産業_(1)農林水産業_②林業","10478.0","3329.0","7149.0","2058.0","5091.0","303.0","4788.0","1879.0","2909.0"
"１．産業_(1)農林水産業_③水産業","32415.0","17676.0","14739.0","3625.0","11114.0","257.0","10857.0","7416.0","3441.0"
"１．産業_(2)鉱業","36625.0","20460.0","16165.0","4153.0","12012.0","952.0","11060.0","1159.0","9901.0"
"","","","","","","","","",""
"１．産業_(3)製造業","2231148.0","1250038.0","981110.0","103813.0","877297.0","262417.0","614880.0","303313.0","311567.0"
"１．産業_(3)製造業_①食料品","298646.0","151050.0","147596.0","5997.0","141599.0","89143.0","52456.0","38171.0","14285.0"
"１．産業_(3)製造業_②繊維","93259.0","60328.0","32931.0","2698.0","30233.0","2457.0","27776.0","20758.0","7018.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","22381.0","14763.0","7618.0","1109.0","6509.0","594.0","5915.0","5287.0","628.0"
"１．産業_(3)製造業_④化学","371756.0","206635.0","165121.0","18856.0","146265.0","11740.0","134525.0","35841.0","98684.0"
"１．産業_(3)製造業_⑤石油･石炭製品","508284.0","274151.0","234133.0","20780.0","213353.0","131004.0","82349.0","9368.0","72981.0"
"１．産業_(3)製造業_⑥窯業･土石製品","37567.0","22582.0","14985.0","1716.0","13269.0","1093.0","12176.0","10130.0","2046.0"
"１．産業_(3)製造業_⑦鉄鋼","260704.0","144880.0","115824.0","31775.0","84049.0","8090.0","75959.0","34742.0","41217.0"
