"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","6536058.0","3466066.0","3069993.0","539641.0","2530352.0","292895.0","2237457.0","997738.0","1239719.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","126344.0","53802.0","72542.0","22822.0","49720.0","152.0","49568.0","25679.0","23889.0"
"１．産業_(1)農林水産業_①農業","107298.0","43758.0","63540.0","21210.0","42330.0","-298.0","42628.0","20423.0","22205.0"
"１．産業_(1)農林水産業_②林業","3835.0","1946.0","1889.0","611.0","1278.0","135.0","1143.0","2176.0","-1033.0"
"１．産業_(1)農林水産業_③水産業","15211.0","8098.0","7113.0","1001.0","6112.0","315.0","5797.0","3080.0","2717.0"
"１．産業_(2)鉱業","3633.0","2207.0","1426.0","623.0","803.0","86.0","717.0","296.0","421.0"
"","","","","","","","","",""
"１．産業_(3)製造業","2868641.0","1923945.0","944697.0","98826.0","845871.0","184393.0","661478.0","263849.0","397629.0"
"１．産業_(3)製造業_①食料品","204002.0","139496.0","64506.0","5709.0","58797.0","14221.0","44576.0","33577.0","10999.0"
"１．産業_(3)製造業_②繊維","52718.0","32331.0","20387.0","2604.0","17783.0","1315.0","16468.0","10000.0","6468.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","30671.0","24722.0","5949.0","1166.0","4783.0","579.0","4204.0","4688.0","-484.0"
"１．産業_(3)製造業_④化学","317847.0","182748.0","135099.0","21630.0","113469.0","9113.0","104356.0","35255.0","69101.0"
"１．産業_(3)製造業_⑤石油･石炭製品","815987.0","619750.0","196237.0","11346.0","184891.0","122534.0","62357.0","8937.0","53420.0"
"１．産業_(3)製造業_⑥窯業･土石製品","47736.0","25831.0","21905.0","1257.0","20648.0","1374.0","19274.0","7212.0","12062.0"
"１．産業_(3)製造業_⑦鉄鋼","778064.0","576590.0","201474.0","36373.0","165101.0","17115.0","147986.0","29332.0","118654.0"
