"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","6422116.0","3229827.0","3192291.0","527226.0","2665065.0","338933.0","2326132.0","1043358.0","1282774.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","146002.0","61996.0","84006.0","28161.0","55845.0","1797.0","54048.0","23215.0","30833.0"
"１．産業_(1)農林水産業_①農業","117840.0","46004.0","71836.0","25814.0","46022.0","1270.0","44752.0","16778.0","27974.0"
"１．産業_(1)農林水産業_②林業","6597.0","2840.0","3757.0","1264.0","2493.0","199.0","2294.0","1584.0","710.0"
"１．産業_(1)農林水産業_③水産業","21565.0","13152.0","8413.0","1083.0","7330.0","328.0","7002.0","4853.0","2149.0"
"１．産業_(2)鉱業","6504.0","3801.0","2703.0","848.0","1855.0","154.0","1701.0","454.0","1247.0"
"","","","","","","","","",""
"１．産業_(3)製造業","2937285.0","1827257.0","1110030.0","81067.0","1028963.0","223104.0","805859.0","267354.0","538505.0"
"１．産業_(3)製造業_①食料品","186009.0","124404.0","61605.0","6565.0","55040.0","13407.0","41633.0","31526.0","10107.0"
"１．産業_(3)製造業_②繊維","72618.0","46465.0","26153.0","2627.0","23526.0","1816.0","21710.0","14377.0","7333.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","20672.0","14597.0","6075.0","697.0","5378.0","479.0","4899.0","4349.0","550.0"
"１．産業_(3)製造業_④化学","304027.0","160272.0","143755.0","20180.0","123575.0","9426.0","114149.0","35399.0","78750.0"
"１．産業_(3)製造業_⑤石油･石炭製品","731247.0","581863.0","149384.0","7966.0","141418.0","150616.0","-9198.0","7881.0","-17079.0"
"１．産業_(3)製造業_⑥窯業･土石製品","29474.0","18723.0","10751.0","804.0","9947.0","778.0","9169.0","6730.0","2439.0"
"１．産業_(3)製造業_⑦鉄鋼","927559.0","531192.0","396367.0","21681.0","374686.0","26923.0","347763.0","28814.0","318949.0"
"１．産業_(3)製造業_⑧非鉄金属","11070.0","5808.0","5262.0","266.0","4996.0","339.0","4657.0","1478.0","3179.0"
"１．産業_(3)製造業_⑨金属製品","81383.0","42434.0","38949.0","2125.0","36824.0","2407.0","34417.0","18689.0","15728.0"
"１．産業_(3)製造業_⑩一般機械","296156.0","137317.0","158839.0","5136.0","153703.0","9483.0","144220.0","43020.0","101200.0"
"１．産業_(3)製造業_⑪電気機械","33420.0","19688.0","13732.0","2204.0","11528.0","949.0","10579.0","19136.0","-8557.0"
"１．産業_(3)製造業_⑫輸送機械","12988.0","4486.0","8502.0","300.0","8202.0","448.0","7754.0","3161.0","4593.0"
"１．産業_(3)製造業_⑬精密機械","40940.0","25040.0","15900.0","4229.0","11671.0","1132.0","10539.0","10740.0","-201.0"
"１．産業_(3)製造業_⑭その他の製造業","189722.0","114966.0","74756.0","6287.0","68469.0","4901.0","63568.0","42054.0","21514.0"
"","","","","","","","","",""
"１．産業_(4)建設業","424208.0","242639.0","181569.0","22797.0","158772.0","9344.0","149428.0","81592.0","67836.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","235346.0","140452.0","94894.0","30323.0","64571.0","7985.0","56586.0","31270.0","25316.0"
"１．産業_(6)卸売･小売業","516320.0","182716.0","333604.0","36154.0","297450.0","22486.0","274964.0","127702.0","147262.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","279381.0","89315.0","190066.0","19815.0","170251.0","-253.0","170504.0","48980.0","121524.0"
"１．産業_(8)不動産業","470740.0","80313.0","390427.0","143931.0","246496.0","29636.0","216860.0","8827.0","208033.0"
"１．産業_(9)運輸業","257088.0","117997.0","139091.0","30400.0","108691.0","10176.0","98515.0","89752.0","8763.0"
"１．産業_(10)情報通信業","149070.0","66297.0","82773.0","19420.0","63353.0","4778.0","58575.0","14077.0","44498.0"
"１．産業_(11)サ－ビス業","1000172.0","417044.0","583128.0","114310.0","468818.0","29726.0","439092.0","350135.0","88957.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","499716.0","97687.0","402029.0","113875.0","288154.0","438.0","287716.0","287716.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","34573.0","15076.0","19497.0","14819.0","4678.0","0.0","4678.0","4678.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","129865.0","17849.0","112016.0","3487.0","108529.0","25.0","108504.0","108504.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","335278.0","64762.0","270516.0","95569.0","174947.0","413.0","174534.0","174534.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","121245.0","36526.0","84719.0","7571.0","77148.0","1531.0","75617.0","75617.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","121245.0","36526.0","84719.0","7571.0","77148.0","1531.0","75617.0","75617.0","0.0"
"","","","","","","","","",""
"小計","7043077.0","3364040.0","3679039.0","648672.0","3030367.0","340902.0","2689465.0","1406691.0","1282774.0"
"","","","","","","","","",""
"輸入品に課される税・関税","39535.0","0.0","39535.0","0.0","39535.0","39535.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","16447.0","0.0","16447.0","0.0","16447.0","16447.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","7066165.0","3364040.0","3702127.0","648672.0","3053455.0","363990.0","2689465.0","1406691.0","1282774.0"
