"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","6988386.0","3896964.0","3091421.0","547459.0","2543962.0","262589.0","2281373.0","1006863.0","1274510.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","122233.0","53432.0","68801.0","18285.0","50516.0","92.0","50424.0","26359.0","24065.0"
"１．産業_(1)農林水産業_①農業","104231.0","43681.0","60550.0","16849.0","43701.0","-186.0","43887.0","21845.0","22042.0"
"１．産業_(1)農林水産業_②林業","3947.0","1986.0","1961.0","613.0","1348.0","129.0","1219.0","2215.0","-996.0"
"１．産業_(1)農林水産業_③水産業","14055.0","7765.0","6290.0","823.0","5467.0","149.0","5318.0","2299.0","3019.0"
"１．産業_(2)鉱業","5492.0","3270.0","2222.0","908.0","1314.0","121.0","1193.0","308.0","885.0"
"","","","","","","","","",""
"１．産業_(3)製造業","3072929.0","2181712.0","891216.0","93755.0","797461.0","161303.0","636158.0","260110.0","376048.0"
"１．産業_(3)製造業_①食料品","209650.0","146638.0","63012.0","6961.0","56051.0","13955.0","42096.0","31967.0","10129.0"
"１．産業_(3)製造業_②繊維","51926.0","32842.0","19084.0","2330.0","16754.0","1178.0","15576.0","10133.0","5443.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","34473.0","28098.0","6375.0","1175.0","5200.0","601.0","4599.0","4441.0","158.0"
"１．産業_(3)製造業_④化学","328547.0","190513.0","138034.0","21269.0","116765.0","8684.0","108081.0","34717.0","73364.0"
"１．産業_(3)製造業_⑤石油･石炭製品","855754.0","727303.0","128451.0","10377.0","118074.0","100702.0","17372.0","8533.0","8839.0"
"１．産業_(3)製造業_⑥窯業･土石製品","50779.0","26409.0","24370.0","2271.0","22099.0","1392.0","20707.0","7186.0","13521.0"
"１．産業_(3)製造業_⑦鉄鋼","873473.0","680309.0","193164.0","26414.0","166750.0","16756.0","149994.0","28050.0","121944.0"
"１．産業_(3)製造業_⑧非鉄金属","23633.0","20204.0","3429.0","474.0","2955.0","387.0","2568.0","2442.0","126.0"
"１．産業_(3)製造業_⑨金属製品","98616.0","56732.0","41884.0","2154.0","39730.0","2473.0","37257.0","18442.0","18815.0"
"１．産業_(3)製造業_⑩一般機械","319877.0","146004.0","173873.0","9663.0","164210.0","9527.0","154683.0","46489.0","108194.0"
"１．産業_(3)製造業_⑪電気機械","31446.0","15113.0","16333.0","2658.0","13675.0","927.0","12748.0","22338.0","-9590.0"
"１．産業_(3)製造業_⑫輸送機械","11986.0","4770.0","7216.0","416.0","6800.0","379.0","6421.0","3212.0","3209.0"
"１．産業_(3)製造業_⑬精密機械","12924.0","4331.0","8593.0","1503.0","7090.0","448.0","6642.0","3430.0","3212.0"
"１．産業_(3)製造業_⑭その他の製造業","169844.0","102446.0","67398.0","6090.0","61308.0","3894.0","57414.0","38730.0","18684.0"
"","","","","","","","","",""
"１．産業_(4)建設業","738268.0","407116.0","331152.0","43169.0","287983.0","12508.0","275475.0","96143.0","179332.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","376526.0","307028.0","69498.0","32479.0","37019.0","7741.0","29278.0","31877.0","-2599.0"
"１．産業_(6)卸売･小売業","519507.0","172867.0","346640.0","30122.0","316518.0","22045.0","294473.0","95446.0","199027.0"
"","","","","","","","","",""
