"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"１．産業_(7)金融･保険業","215425.0","76985.0","138440.0","22918.0","115522.0","1133.0","114389.0","47097.0","67292.0"
"１．産業_(8)不動産業","520545.0","87772.0","432773.0","152753.0","280020.0","24996.0","255024.0","7824.0","247200.0"
"１．産業_(9)運輸業","259225.0","133216.0","126009.0","32573.0","93436.0","8418.0","85018.0","74927.0","10091.0"
"１．産業_(10)情報通信業","165384.0","74088.0","91296.0","18243.0","73053.0","4817.0","68236.0","14130.0","54106.0"
"１．産業_(11)サ－ビス業","992852.0","399478.0","593374.0","102254.0","491120.0","19415.0","471705.0","352642.0","119063.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","462212.0","91224.0","370988.0","116611.0","254377.0","456.0","253921.0","253921.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","27081.0","13488.0","13593.0","11534.0","2059.0","0.0","2059.0","2059.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","110578.0","17428.0","93150.0","3831.0","89319.0","35.0","89284.0","89284.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","324553.0","60308.0","264245.0","101246.0","162999.0","421.0","162578.0","162578.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","134938.0","45589.0","89349.0","6685.0","82664.0","2133.0","80531.0","80531.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","134938.0","45589.0","89349.0","6685.0","82664.0","2133.0","80531.0","80531.0","0.0"
"","","","","","","","","",""
"小計","7585536.0","4033777.0","3551758.0","670755.0","2881003.0","265178.0","2615825.0","1341315.0","1274510.0"
"","","","","","","","","",""
"輸入品に課される税・関税","47539.0","0.0","47539.0","0.0","47539.0","47539.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","15986.0","0.0","15986.0","0.0","15986.0","15986.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","7617089.0","4033777.0","3583311.0","670755.0","2912556.0","296731.0","2615825.0","1341315.0","1274510.0"
