"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","5865680.0","2786979.0","3078702.0","531403.0","2547299.0","327080.0","2220219.0","1134345.0","1085874.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","152740.0","62705.0","90035.0","29114.0","60921.0","1472.0","59449.0","34997.0","24452.0"
"１．産業_(1)農林水産業_①農業","120850.0","44469.0","76381.0","25094.0","51287.0","871.0","50416.0","26841.0","23575.0"
"１．産業_(1)農林水産業_②林業","7802.0","3514.0","4288.0","1463.0","2825.0","227.0","2598.0","2688.0","-90.0"
"１．産業_(1)農林水産業_③水産業","24088.0","14722.0","9366.0","2557.0","6809.0","374.0","6435.0","5468.0","967.0"
"１．産業_(2)鉱業","32843.0","20003.0","12840.0","4242.0","8598.0","814.0","7784.0","646.0","7138.0"
"","","","","","","","","",""
"１．産業_(3)製造業","2390300.0","1435848.0","954453.0","80136.0","874317.0","209603.0","664714.0","275034.0","389680.0"
"１．産業_(3)製造業_①食料品","203406.0","136908.0","66498.0","4919.0","61579.0","13748.0","47831.0","34403.0","13428.0"
"１．産業_(3)製造業_②繊維","75839.0","47764.0","28075.0","2746.0","25329.0","1965.0","23364.0","16469.0","6895.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","19137.0","12696.0","6441.0","740.0","5701.0","484.0","5217.0","4187.0","1030.0"
"１．産業_(3)製造業_④化学","353192.0","162481.0","190711.0","19049.0","171662.0","12124.0","159538.0","35753.0","123785.0"
"１．産業_(3)製造業_⑤石油･石炭製品","542990.0","362732.0","180258.0","7228.0","173030.0","147559.0","25471.0","7843.0","17628.0"
"１．産業_(3)製造業_⑥窯業･土石製品","31347.0","20054.0","11293.0","999.0","10294.0","845.0","9449.0","7657.0","1792.0"
"１．産業_(3)製造業_⑦鉄鋼","543980.0","358976.0","185004.0","25701.0","159303.0","14496.0","144807.0","25826.0","118981.0"
"１．産業_(3)製造業_⑧非鉄金属","4110.0","2599.0","1511.0","26.0","1485.0","113.0","1372.0","780.0","592.0"
"１．産業_(3)製造業_⑨金属製品","74511.0","37411.0","37100.0","1991.0","35109.0","2269.0","32840.0","19117.0","13723.0"
"１．産業_(3)製造業_⑩一般機械","236548.0","113541.0","123007.0","4469.0","118538.0","7588.0","110950.0","40994.0","69956.0"
"１．産業_(3)製造業_⑪電気機械","40062.0","25482.0","14580.0","1957.0","12623.0","1092.0","11531.0","21828.0","-10297.0"
"１．産業_(3)製造業_⑫輸送機械","11225.0","4517.0","6708.0","379.0","6329.0","368.0","5961.0","3439.0","2522.0"
"１．産業_(3)製造業_⑬精密機械","67746.0","39610.0","28136.0","4000.0","24136.0","1988.0","22148.0","11898.0","10250.0"
"１．産業_(3)製造業_⑭その他の製造業","186207.0","111076.0","75131.0","5932.0","69199.0","4964.0","64235.0","44840.0","19395.0"
"","","","","","","","","",""
"１．産業_(4)建設業","400585.0","228464.0","172121.0","11042.0","161079.0","9317.0","151762.0","91190.0","60572.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","198671.0","92289.0","106382.0","28783.0","77599.0","8151.0","69448.0","36164.0","33284.0"
"１．産業_(6)卸売･小売業","524382.0","174590.0","349792.0","26271.0","323521.0","23088.0","300433.0","144774.0","155659.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","258344.0","74983.0","183361.0","17291.0","166070.0","-807.0","166877.0","57496.0","109381.0"
"１．産業_(8)不動産業","450582.0","81949.0","368633.0","137344.0","231289.0","30084.0","201205.0","12095.0","189110.0"
"１．産業_(9)運輸業","224654.0","95313.0","129341.0","66992.0","62349.0","9342.0","53007.0","85223.0","-32216.0"
"１．産業_(10)情報通信業","152239.0","64656.0","87583.0","20279.0","67304.0","5100.0","62204.0","22448.0","39756.0"
"１．産業_(11)サ－ビス業","1080340.0","456179.0","624161.0","109909.0","514252.0","30916.0","483336.0","374278.0","109058.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","524849.0","105255.0","419594.0","115015.0","304579.0","426.0","304153.0","304153.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","33700.0","14738.0","18962.0","14047.0","4915.0","0.0","4915.0","4915.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","137129.0","18753.0","118376.0","2737.0","115639.0","21.0","115618.0","115618.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","354020.0","71764.0","282256.0","98231.0","184025.0","405.0","183620.0","183620.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","87298.0","28911.0","58387.0","5894.0","52493.0","1390.0","51103.0","51103.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","87298.0","28911.0","58387.0","5894.0","52493.0","1390.0","51103.0","51103.0","0.0"
"","","","","","","","","",""
"小計","6477827.0","2921145.0","3556683.0","652312.0","2904371.0","328896.0","2575475.0","1489601.0","1085874.0"
"","","","","","","","","",""
"輸入品に課される税・関税","30487.0","0.0","30487.0","0.0","30487.0","30487.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","15423.0","0.0","15423.0","0.0","15423.0","15423.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","6492891.0","2921145.0","3571747.0","652312.0","2919435.0","343960.0","2575475.0","1489601.0","1085874.0"
