"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"１．産業_(3)製造業_⑪電気機械","30354.0","20630.0","9724.0","1847.0","7877.0","792.0","7085.0","19497.0","-12412.0"
"１．産業_(3)製造業_⑫輸送機械","9045.0","4695.0","4350.0","155.0","4195.0","267.0","3928.0","2754.0","1174.0"
"１．産業_(3)製造業_⑬精密機械","62678.0","35850.0","26828.0","3694.0","23134.0","1889.0","21245.0","11460.0","9785.0"
"１．産業_(3)製造業_⑭その他の製造業","190141.0","117418.0","72723.0","6119.0","66604.0","5029.0","61575.0","47585.0","13990.0"
"","","","","","","","","",""
"１．産業_(4)建設業","404129.0","230731.0","173398.0","11876.0","161522.0","8965.0","152557.0","99582.0","52975.0"
"１．産業_(5)電気･ｶﾞｽ･水道業","170375.0","72152.0","98223.0","27269.0","70954.0","7047.0","63907.0","35899.0","28008.0"
"１．産業_(6)卸売･小売業","522526.0","174763.0","347763.0","28565.0","319198.0","23013.0","296185.0","162510.0","133675.0"
"","","","","","","","","",""
"１．産業_(7)金融･保険業","261873.0","76236.0","185637.0","15950.0","169687.0","-2161.0","171848.0","54921.0","116927.0"
"１．産業_(8)不動産業","442540.0","81941.0","360599.0","134903.0","225696.0","30705.0","194991.0","12250.0","182741.0"
"１．産業_(9)運輸業","202356.0","86644.0","115712.0","59693.0","56019.0","8555.0","47464.0","85413.0","-37949.0"
"１．産業_(10)情報通信業","158799.0","67941.0","90858.0","20135.0","70723.0","5338.0","65385.0","22498.0","42887.0"
"１．産業_(11)サ－ビス業","1071668.0","448601.0","623067.0","109909.0","513158.0","30601.0","482557.0","396746.0","85811.0"
"","","","","","","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","528114.0","105288.0","422826.0","115331.0","307495.0","406.0","307089.0","307089.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","34228.0","14899.0","19329.0","14075.0","5254.0","0.0","5254.0","5254.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(2)サ－ビス業","138709.0","19308.0","119401.0","3187.0","116214.0","27.0","116187.0","116187.0","0.0"
"２．政府ｻ-ﾋﾞｽ生産者_(3)公務","355177.0","71081.0","284096.0","98069.0","186027.0","379.0","185648.0","185648.0","0.0"
"３．対家計民間非営利","","","","","","","","",""
"３．対家計民間非営利_サ－ビス生産者","88037.0","29400.0","58637.0","6430.0","52207.0","1245.0","50962.0","50962.0","0.0"
"３．対家計民間非営利_(1)サ－ビス業","88037.0","29400.0","58637.0","6430.0","52207.0","1245.0","50962.0","50962.0","0.0"
"","","","","","","","","",""
"小計","6125852.0","2575310.0","3550542.0","649250.0","2901292.0","314229.0","2587063.0","1531734.0","1055329.0"
"","","","","","","","","",""
"輸入品に課される税・関税","29090.0","0.0","29090.0","0.0","29090.0","29090.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","15741.0","0.0","15741.0","0.0","15741.0","15741.0","0.0","0.0","0.0"
"","","","","","","","","",""
"合計","6139201.0","2575310.0","3563891.0","649250.0","2914641.0","327578.0","2587063.0","1531734.0","1055329.0"
