"経済活動の種類","生産者価格表示の産出額_(1)","中間投入_(2)"," 生産者価格表示の県内総生産_(3)=(1)-(2)"," 固定資本減耗_(4)"," 生産者価格表示の県内純生産_(5)=(3)-(4)"," 生産・輸入品に課される税(控除)補助金_(6)","県内要素所得(純生産)_(7)=(5)-(6)"," 雇用者報酬_(8)","  営業余剰・混合所得_(9)=(7)-(8)"
"","","","","","","","","",""
"１．産業","5509701.0","2440622.0","3069079.0","527489.0","2541590.0","312578.0","2229012.0","1173683.0","1055329.0"
"","","","","","","","","",""
"１．産業_(1)農林水産業","146036.0","60322.0","85714.0","33305.0","52409.0","260.0","52149.0","32104.0","20045.0"
"１．産業_(1)農林水産業_①農業","113477.0","42740.0","70737.0","29084.0","41653.0","-380.0","42033.0","24006.0","18027.0"
"１．産業_(1)農林水産業_②林業","8228.0","2666.0","5562.0","1575.0","3987.0","248.0","3739.0","2638.0","1101.0"
"１．産業_(1)農林水産業_③水産業","24331.0","14916.0","9415.0","2646.0","6769.0","392.0","6377.0","5460.0","917.0"
"１．産業_(2)鉱業","39686.0","22535.0","17151.0","4860.0","12291.0","1057.0","11234.0","746.0","10488.0"
"","","","","","","","","",""
"１．産業_(3)製造業","2089713.0","1118756.0","970957.0","81024.0","889933.0","199198.0","690735.0","271014.0","419721.0"
"１．産業_(3)製造業_①食料品","199547.0","131834.0","67713.0","6302.0","61411.0","13592.0","47819.0","35904.0","11915.0"
"１．産業_(3)製造業_②繊維","75316.0","49225.0","26091.0","3059.0","23032.0","1930.0","21102.0","17263.0","3839.0"
"１．産業_(3)製造業_③ﾊﾟﾙﾌﾟ･紙","18664.0","12557.0","6107.0","750.0","5357.0","474.0","4883.0","4726.0","157.0"
"１．産業_(3)製造業_④化学","357222.0","159329.0","197893.0","18883.0","179010.0","12530.0","166480.0","35005.0","131475.0"
"１．産業_(3)製造業_⑤石油･石炭製品","511679.0","270460.0","241219.0","6798.0","234421.0","142325.0","92096.0","8178.0","83918.0"
"１．産業_(3)製造業_⑥窯業･土石製品","32421.0","20376.0","12045.0","1219.0","10826.0","900.0","9926.0","8686.0","1240.0"
"１．産業_(3)製造業_⑦鉄鋼","297524.0","148304.0","149220.0","25218.0","124002.0","9715.0","114287.0","21436.0","92851.0"
"１．産業_(3)製造業_⑧非鉄金属","5818.0","4021.0","1797.0","277.0","1520.0","150.0","1370.0","0.0","1370.0"
"１．産業_(3)製造業_⑨金属製品","75576.0","37912.0","37664.0","2197.0","35467.0","2328.0","33139.0","19204.0","13935.0"
"１．産業_(3)製造業_⑩一般機械","223727.0","106144.0","117583.0","4506.0","113077.0","7277.0","105800.0","39316.0","66484.0"
